Input Shapes
"7271,6016;6016,11584"
"10391,3776;3776,2944"
"7119,6784;6784,1920"
"5007,6208;6208,6720"
"16132,768;768,9728"
"9288,5632;5632,6144"
"2775,7232;7232,14208"
"13912,15616;15616,384"
"2620,13120;13120,1728"
"7736,832;832,12224"
"10349,11264;11264,2176"
"14016,16256;16256,15616"
"5639,12864;12864,4416"
"9940,4992;4992,10560"
"16259,12480;12480,10816"
"7185,512;512,1536"
"4407,10240;10240,7040"
"16226,12608;12608,6144"
"10936,13312;13312,2944"
"14810,4416;4416,3200"
"11649,15616;15616,11776"
"15260,10688;10688,2432"
"15823,2880;2880,6144"
"12869,2112;2112,8960"
"8960,5632;5632,13824"
"4063,10560;10560,15936"
"11834,15040;15040,1728"
"3431,12416;12416,10688"
"13913,15360;15360,10752"
"9740,14528;14528,2496"
"6716,6464;6464,9728"
"15041,3008;3008,16320"
"15205,5952;5952,12544"
"8314,10624;10624,10048"
"11727,256;256,13248"
"12130,10432;10432,7296"
"16297,14208;14208,8448"
"9073,4096;4096,2048"
"7393,12736;12736,3520"
"2525,8768;8768,12480"
"2783,10240;10240,11392"
"9852,15872;15872,8448"
"2668,11072;11072,3968"
"5501,12736;12736,10048"
"3676,15168;15168,2816"
"6158,4928;4928,12352"
"11279,2048;2048,8768"
"9071,7424;7424,10048"
"15302,14720;14720,6976"
"3244,9280;9280,3840"
"978,8128;8128,15296"
"13456,3456;3456,15296"
"6933,15360;15360,10816"
"13675,704;704,9216"
"5326,1792;1792,2496"
"12760,9216;9216,448"
"13804,4352;4352,8704"
"15409,6784;6784,9280"
"14985,15104;15104,8768"
"7614,5568;5568,5504"
"8392,1152;1152,12480"
"3157,5696;5696,2688"
"5391,10496;10496,3264"
"8116,6592;6592,6336"
"11473,9344;9344,1792"
"2018,7680;7680,832"
"4317,10560;10560,9344"
"3435,6976;6976,12288"
"5837,5440;5440,4608"
"7958,10880;10880,13248"
"1406,5568;5568,13120"
"7058,12992;12992,6912"
"6335,9600;9600,3648"
"10282,15552;15552,7936"
"8842,16192;16192,14144"
"8295,7040;7040,8256"
"10088,5376;5376,4864"
"10196,10496;10496,8512"
"5916,14016;14016,4864"
"12979,7936;7936,6592"
"4388,13056;13056,3456"
"2495,4224;4224,2752"
"1523,11712;11712,9728"
"7857,15808;15808,11968"
"10172,11712;11712,12928"
"1225,12032;12032,7936"
"7592,7808;7808,10112"
"6348,4480;4480,8000"
"15331,13504;13504,14912"
"14094,5312;5312,6336"
"13833,2368;2368,16128"
"10657,4416;4416,5440"
"4961,16192;16192,15680"
"6269,6080;6080,16256"
"7410,12800;12800,11328"
"13175,14720;14720,8320"
"9699,12544;12544,5632"
"12057,14272;14272,3136"
"13444,5568;5568,1984"
"8630,11264;11264,16064"
"7044,15744;15744,12608"
