core_num,traffic_size(KB),bandwidth(GB/s),efficiency
1,0.5,219.12968,0.498022
1,1,351.24408,0.798282
1,1.5,376.82568,0.856422
1,2.5,400.13996,0.909409
1,4,414.568,0.9422
1,5,419.61172,0.953663
1,7.5,426.5294,0.969385
1,8.5,428.19084,0.973161
1,10,430.07492,0.977443
1,11,431.0526,0.979665
1,12.5,432.23092,0.982343
1,13.5,432.8742,0.983805
1,15,433.67984,0.985636
1,16,434.1348,0.98667
1,17.5,434.72088,0.988002
1,20,435.5054,0.989785
1,21,435.76764,0.990381
1,22.5,436.117,0.991175
1,23.5,436.326,0.99165
1,25,436.60804,0.992291
1,26,436.77788,0.992677
1,28.5,437.15144,0.993526
1,30,437.34592,0.993968
1,31,437.4656,0.99424
1,33.5,437.73268,0.994847
1,35,437.8748,0.99517
1,36,437.9628,0.99537
1,38.5,438.16344,0.995826
1,40,438.27212,0.996073
1,41,438.33988,0.996227
1,43.5,438.49652,0.996583
1,45,438.58188,0.996777
1,46,438.63556,0.996899
1,48.5,438760520,0997183
1,50,438.83004,0.997341
1,60,439.20272,0.998188
1,63.5,439.3048,0.99842
