core_num,traffic_size(KB),bandwidth(GB/s),efficiency
1,0.5,175.4819,0.797645
1,1,195.53358,0.888789
1,1.5,203.21356,0.923698
1,2.5,209.80542,0.953661
1,4,213.70558,0.971389
1,5,215.03746,0.977443
1,7.5,216.83992,0.985636
1,8.5,217.26848,0.987584
1,10,217.75248,0.989784
1,11,218.00306,0.990923
1,12.5,218.30402,0.992291
1,13.5,218.46792,0.993036
1,15,218.67296,0.993968
1,16,218.78846,0.994493
1,17.5,218.9374,0.99517
1,20,219.13606,0.996073
1,21,219.2025,0.996375
1,22.5,219.29094,0.996777
1,23.5,219.34352,0.997016
1,25,219.41502,0.997341
1,26,219.45792,0.997536
1,28.5,219552080,0997964
1,30,219.60092,0.998186
1,31,219.63106,0.998323
1,33.5,219.6986,0.99863
1,35,219.73446,0.998793
1,36,219.75646,0.998893
1,38.5,219.80706,0.999123
1,40,219.83456,0.999248
1,41,219.8515,0.999325
1,43.5,219.8911,0.999505
1,45,219.91244,0.999602
1,46,219.92608,0.999664
1,48.5,219.9571,0.999805
1,50,219.97448,0.999884
1,60,220.06798,1.000309
1,63.5,220.09394,1.000427
