Input Shapes,profiling,calculon,Compass roofline£¨original efficiency£©,Compass roofline2(calculon efficiency),IO_bytes,original result
"1,15168;15168,2496",129,63.12832,47.4009963,62.29768421,"77,826,048",17.9
"1,8832;8832,3008",30,44.29749333,33.2615428,43.71463158,"53,305,856",12.1
"1,12800;12800,12096",300,215.0745778,193.7909819,227.7260235,"618,168,320",38.6
"1,5568;5568,11968",89,92.57688889,83.41555932,98.02258824,"383,714,304",23
"1,11136;11136,11904",250,184.1472,165.9241509,194.9793882,"532,885,504",32.5
"1,13952;13952,6016",118,116.6044444,105.0653686,123.4635294,"346,689,536",29.7
"1,10624;10624,4288",85.8,75.95104,,74.95168421,"205,155,328",
"1,9344;9344,1280",19.5,19.95157333,,19.68905263,"110,661,632",
"1,1280;1280,9856",13.2,21.04469333,,20.76778947,"25,964,544",
"1,576;576,13952",9.6,13.41813333,,13.24157895,"16,468,992",
"1,10816;10816,256",25,5.7916,,5.7916,"58,003,456",
"1,10240;10240,3968",86.6,67.74421333,,66.85284211,"282,113,024",
"1,4928;4928,7744",47,63.62517333,,62.788,"154,863,616",
"1,6080;6080,5632",26.1,57.09045333,,56.33926316,"136,904,704",
"1,9472;9472,1664",22.8,26.28757333,,25.94168421,"63,086,592",
"1,7296;7296,8576",101,86.92551111,,92.03877647,"312,621,056",
"1,12096;12096,2240",39,45.18229333,,44.58778947,"108,099,584",
"1,9088;9088,10112",167,127.6625778,,135.1721412,"491,585,536",
"1,3264;3264,6848",31.6,37.26997333,,36.77957895,"68,935,680",
"1,3648;3648,10624",32.8,64.61770667,,63.76747368,"117,825,536",
"1,14848;14848,512",37,,,,,
"1,13056;13056,2560",28.9,,,,,
"1,13632;13632,13952",339,,,,,
"1,12416;12416,15232",322,,,,,
"1,8512;8512,14848",169,,,,,
"1,11584;11584,640",26.4,,,,,
"1,5248;5248,4416",27,,,,,
"1,4352;4352,13632",104,,,,,
"1,1664;1664,1024",7.7,,,,,
"1,8064;8064,15424",232,,,,,
"1,320;320,14272",7.1,,,,,
"1,9536;9536,1408",22.3,,,,,
"1,1664;1664,6784",15.4,,,,,
"1,14528;14528,12800",275,,,,,
"1,14144;14144,3968",118,,,,,
"1,3520;3520,2752",15.3,,,,,
"1,14464;14464,11200",371,,,,,
"1,10368;10368,8576",188,,,,,
"1,13376;13376,8384",178,,,,,
"1,192;192,16256",5.3,,,,,
"1,4160;4160,13376",99,,,,,
"1,12224;12224,14016",353,,,,,
"1,1856;1856,12416",24.5,,,,,
"1,7616;7616,3328",32.1,,,,,
"1,9024;9024,9344",150,,,,,
"1,6592;6592,9792",99.3,,,,,
"1,7168;7168,1856",24.1,,,,,
"1,5568;5568,5760",25.8,,,,,
"1,2176;2176,1088",9.4,,,,,
"1,5824;5824,2240",20,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"14133,960;960,1",9.4,22.637955,,,,
"14538,1024;1024,1",11.3,24.83745667,,,,
"8549,896;896,1",7.1,12.78224833,,,,
"8154,14144;14144,1",239,160.2117694,,,,
"15024,4288;4288,1",57,89.50308889,,,,
